溢れる,あふれる,開く,1
あきらか,明らか,閉じる,2
あげる,上げる,閉じる,3
あいだ,間,閉じる,4
あいさつ,挨拶,閉じる,5
貴方,あなた,開く,6
貴女,あなた,開く,7
あと,後,閉じる,8
予め,あらかじめ,開く,9
あく,空く,閉じる,10
あまみ,甘み,閉じる,12
あつかう,扱う,閉じる,13
いぬ,犬,閉じる,14
色々,いろいろ,開く,15
いったい,一体,閉じる,16
頂く,いただく,開く,17
一旦,いったん,開く,18
良い,よい,開く,19
いっかい,一回,閉じる,20
いま,今,閉じる,21
言う,いう,開く,22
いいわけ,言い訳,閉じる,23
致します,いたします,開く,24
いちいん,一員,閉じる,25
いちど・１度,一度,閉じる,26
いちばん,一番,閉じる,27
いっさい,一切,閉じる,28
イジメ,いじめ,開く,29
いっぽ,一歩,閉じる,30
いかす,生かす,閉じる,31
活かす,生かす,閉じる,32
いたる,至る,閉じる,33
羨ましい,うらやましい,開く,34
促す,うながす,開く,35
Webサイト,ウェブサイト,閉じる,36
うれしい,嬉しい,閉じる,37
上手い,うまい,開く,38
頷く,うなずく,開く,39
伺う,うかがう,開く,40
えり,襟,閉じる,41
おもしろい,面白い,閉じる,42
大いに,おおいに,開く,43
おれ,俺,閉じる,44
及び,および,開く,45
おどろく,驚く,閉じる,47
おそるおそる,恐るおそる,閉じる,48
おさななじみ,幼馴染,閉じる,49
おもちゃ,オモチャ,開く,50
癌,がん,開く,51
可愛い,かわいい,開く,52
かし,菓子,閉じる,53
かさ,傘,閉じる,54
かた,方,閉じる,55
から,～,開く,56
ヶ月,か月,開く,57
唐揚げ,から揚げ,開く,58
からあげ,から揚げ,閉じる,59
亀,カメ,開く,60
かつら,カツラ,開く,61
がんばる,頑張る,閉じる,62
可哀想,かわいそう,開く,63
可哀相,かわいそう,開く,64
きづく,気付く,閉じる,65
きめる※動詞,決める,閉じる,66
綺麗,きれい,開く,67
下さい,ください,開く,68
君,きみ,開く,69
車椅子,車いす,開く,70
けっして,決して,閉じる,71
喧嘩,ケンカ,開く,72
けんか,ケンカ,閉じる,73
怪我,ケガ,開く,74
けが,ケガ,閉じる,75
牽引,けん引,開く,76
けんいん,けん引,閉じる,77
事,こと,開く,78
子ども,子供,閉じる,79
こども,子供,閉じる,80
如く,ごとく,開く,81
毎,ごと,開く,82
例：ご卒業,ご～,開く,83
ことし,今年,閉じる,84
ころ、ごろ,頃,閉じる,85
ごみ,ゴミ,閉じる,86
様々,さまざま,開く,229
更に,さらに,開く,88
さっそく,早速,閉じる,89
晒す,さらす,開く,90
寂しい,さびしい,開く,91
淋しい,さびしい,開く,92
爽やか,さわやか,開く,93
しょうがい,障がい,閉じる,94
しあう,し合う,閉じる,95
じゅうぶん,十分,閉じる,96
賞賛,称賛,閉じる,97
しょうゆ,醤油,閉じる,98
過ぎる,すぎる,開く,99
直ぐ,すぐ,開く,100
すし,寿司,閉じる,101
既に,すでに,開く,102
全て,すべて,開く,103
スゴイ,すごい,開く,104
凄い,すごい,開く,105
すさまじい,凄まじい,閉じる,106
３DCG,3DCG,開く,107
是非,ぜひ,開く,108
蕎麦,そば,開く,109
傍、側,そば,開く,110
さげる,下げる,閉じる,111
揃う,そろう,開く,112
そで,袖,閉じる,113
為,ため,開く,114
但し,ただし,開く,115
沢山,たくさん,開く,116
たぶん,多分,閉じる,117
たしかに,確かに,閉じる,118
達,たち,開く,119
度々,たびたび,開く,120
只,ただ,開く,121
たとえば,例えば,閉じる,122
だれ,誰,閉じる,123
段ボール,ダンボール,開く,124
躊躇,ちゅうちょ,開く,125
つづく,続く,閉じる,126
遂に,ついに,開く,127
綴る,つづる,開く,128
辛い,つらい,開く,129
繋ぐ,つなぐ,開く,130
つき,付き,閉じる,131
つく,付く,閉じる,132
ツーショット,ツーショット写真,閉じる,133
出来る,できる,開く,134
ねらう,狙う,閉じる,135
手掛かり,手がかり,開く,136
できごと,出来事,閉じる,137
捉える,とらえる,開く,138
留める,とどめる,開く,139
共に,ともに,開く,140
とくに,特に,閉じる,141
問い合せ,問い合わせ,閉じる,142
問合せ,問い合わせ,閉じる,143
とき,時,閉じる,144
ところどころ,所どころ,閉じる,145
ドーナッツ,ドーナツ,開く,146
虜,とりこ,開く,147
ともだち,友達,閉じる,148
となり,隣,閉じる,149
無い,ない,開く,150
等,など,開く,151
なにごと,何事,閉じる,152
なに,何,閉じる,153
何て～,なんて～,開く,154
何と～,なんと～,開く,155
ナンバーワン,No.１,開く,156
何故、ナゼ,なぜ,開く,157
撫でる,なでる,開く,158
なごむ,和む,閉じる,159
にて,において,閉じる,160
にぼし,煮干し,閉じる,161
ねこ,猫,閉じる,162
喉、のど,ノド,開く,163
はじめる,始める,閉じる,164
はじめて,初めて,閉じる,165
はちみつ・蜂蜜,ハチミツ,開く,166
ひとつ,１つ,閉じる,167
ひっこし,引っ越し,閉じる,168
ひとびと,人々,閉じる,169
暇,ヒマ,開く,170
膝,ヒザ,開く,171
肘,ヒジ,開く,172
ひとりぐらし,一人暮らし,閉じる,173
ひく,引く,閉じる,174
ふるまい,振る舞い,閉じる,175
その分,ぶん,開く,176
変,ヘン,開く,177
～の方,～のほう,開く,178
ぼく,僕,閉じる,179
殆ど,ほとんど,開く,180
他,ほか,開く,181
ほしい,欲しい,閉じる,182
～して欲しい,～してほしい,開く,183
奔走,ほん走,開く,184
ほお・ほほ,頬,閉じる,185
正に,まさに,開く,186
先ず,まず,開く,187
又,また,開く,188
迄,まで,開く,189
いつのまにか,いつの間にか,閉じる,190
瞬く間に,またたく間に,閉じる,191
不味い,まずい,開く,192
まっすぐ,真っ直ぐ,閉じる,193
まもない,間もない,閉じる,194
皆,みんな,開く,195
みごと,見事,閉じる,196
みやげ,土産,閉じる,197
身に着ける,身につける,開く,198
睦まじい,むつまじい,開く,199
めったに,滅多に,閉じる,200
めざす,目指す,閉じる,201
弄ぶ,もてあそぶ,開く,202
元々,もともと,開く,203
最も,もっとも,開く,204
勿論,もちろん,開く,205
止める,やめる,開く,206
やめる,辞める,閉じる,207
やせる,痩せる,閉じる,208
ゆううつ,憂うつ,閉じる,209
茹でる,ゆでる,開く,210
よる,寄る,閉じる,211
らーめん,ラーメン,閉じる,212
わかる,分かる,閉じる,213
わたし,私,閉じる,214
全く,まったく,開く,215
何の,なんの,開く,216
身に付ける,身につける,開く,217
まもなく,間もなく,閉じる,218
わが,我が,閉じる,219
辺り,あたり,開く,220
ひととき,ひと時,閉じる,221
キミ,きみ,開く,222
餌,エサ,開く,223
えさ,エサ,閉じる,224
〜とき,〜時,閉じる,225
からだ,身体,閉じる,226
一言,ひと言,開く,227
狭間,はざま,開く,228
可愛らしい,かわいらしい,開く,230
しめじ,シメジ,開く,231
